Transaction_ID,Date,Day_of_Week,Branch_ID,Branch_Location,Product_ID,Drug_Name,Category,Quantity,Unit_Price_KES,Total_Sale_KES,Payment_Method
1113,2025-10-02,Thursday,B02,Embakasi,P001,Paracetamol 500mg,Pain Relief,1,10,10,M-Pesa
1114,2025-10-02,Thursday,B02,Embakasi,P008,Insulin,Diabetes,3,450,1350,Cash
1115,2025-10-02,Thursday,B02,Embakasi,P007,Metformin 500mg,Diabetes,3,40,120,M-Pesa
1116,2025-10-02,Thursday,B02,Embakasi,P008,Insulin,Diabetes,2,450,900,
1117,2025-10-02,Thursday,B02,embakasi,P001,Paracetamol 500mg,Pain Relief,1,10,10,Card
1118,2025-10-02,Thursday,B02,Embakasi,P002,Ibuprofen 200mg,Pain Relief,3,15,45, Cash
1119,2025-10-02,Thursday,B02,Embakasi,P004,Azithromycin 500mg,Antibiotic,2,120,240,
1120,2025-10-02,Thursday,B02,embakasi,P007,Metformin 500mg,Diabetes,3,40,120,Card
1121,2025-10-02,Thursday,B02,Embakasi,P008,Insulin,Diabetes,3,450,1350,M-Pesa
1122,2025-10-02,Thursday,B02,Embakasi,P009,Amlodipine 5mg,Hypertension,1,30,30,Cash
1123,2025-10-02,Thursday,B02,Embakasi,P006,Cough Syrup,Cold & Flu,3,90,270,M pesa
1124,2025-10-02,Thursday,B02,Embakasi,P008,Insulin,Diabetes,1,450,450,Cash
1125,2025-10-02,Thursday,B02,Embakasi,P004,Azithromycin 500mg,Antibiotic,3,120,360,Cash
1126,2025-10-02,Thursday,B02,Embakasi,P010,Antacid Tablets,Digestive,2,20,40,M-Pesa
1127,2025-10-02,Thursday,B02,Embakasi,P001,,Pain Relief,3,10,30,
1128,2025-10-02,Thursday,B02,Embakasi,P008,Insulin,Diabetes,1,450,450,Card
1129,2025-10-02,Thursday,B02,Embakasi,P003,Amoxicillin 250mg,Antibiotic,1,35,35,Insurance
1130,2025-10-02,Thursday,B02,Embakasi,P001,Paracetamol 500mg,Pain Relief,2,10,20,Cash
1131,2025-10-02,Thursday,B02,Embakasi,P001,Paracetmol,Pain Relief,3,10,30,M-Pesa
1132,2025-10-02,Thursday,B02,Embakasi,P007,Metformin 500mg,Diabetes,3,40,120,M-Pesa
1133,2025-10-02,Thursday,B02,Embakasi,P005,Vitamin C Tablets,Supplement,2,25,50,Card
1134,2025-10-02,Thursday,B02,Embakasi,P005,Vitamin C Tablets,Supplement,3,25,75,Insurance
1135,2025-10-02,Thursday,B02,Embakasi,P003,Amoxicillin 250mg,Antibiotic,3,35,105,M-Pesa
1136,2025-10-02,Thursday,B02,Embakasi,P010,Antacid Tablets,Digestive,1,20,20,Insurance
1137,2025-10-02,Thursday,B02,Embakasi,P010,Antacid Tablets,Digestive,3,20,60,M-Pesa
1138,2025-10-03,Friday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,2,10,20,M-Pesa
1139,2025-10-03,Friday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,1,30,30,M-Pesa
1140,2025-10-03,Friday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,3,40,120,Card
1141,2025-10-03,Friday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,3,10,30,Card
1142,2025-10-03,Friday,B01,Nairobi CBD,P008,Insulin,Diabetes,3,450,1350,
1143,2025-10-03,Friday,B01,Nairobi CBD,P010,Antacid Tablets,Digestive,1,20,20,Card
1144,2025-10-03,Friday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,1,40,40,M-Pesa
1145,2025-10-03,Friday,B01,Nairobi CBD,P008,Insulin,Diabetes,2,450,900,
1146,2025-10-03,Friday,B01,Nairobi CBD,P006,Cough Syrup,Cold & Flu,1,90,90,M-Pesa
1147,2025-10-03,Friday,B01,Nairobi CBD,P008,Insulin,Diabetes,3,450,1350,M-Pesa
1148,2025-10-03,Friday,B01,Nairobi CBD,P004,Azithromycin 500mg,Antibiotic,3,120,360,M-Pesa
1149,2025-10-03,Friday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,1,30,30,M-Pesa
1150,2025-10-03,Friday,B01,Nairobi CBD,P008,Insulin,Diabetes,3,450,1350,Card
1151,2025-10-03,Friday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,3,10,30,Card
1152,2025-10-03,Friday,B01,Nairobi CBD,P005,Vitamin C Tablets,Supplement,1,25,25,M-Pesa
1153,2025-10-03,Friday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,1,15,15,Insurance
1154,2025-10-03,Friday,B01,Nairobi CBD,P004,Azithromycin 500mg,Antibiotic,3,120,360,M pesa
1155,2025-10-03,Friday,B01,Nairobi CBD,P003,Amoxicillin 250mg,Antibiotic,3,35,105,Card
1156,2025-10-03,Friday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,3,15,45,M-Pesa
1157,2025-10-03,Friday,B01,Nairobi CBD,P006,Cough Syrup,Cold & Flu,2,90,180,M-Pesa
1158,2025-10-03,Friday,B01,Nairobi CBD,P004,Azithromycin 500mg,Antibiotic,2,120,240,M-Pesa
1159,2025-10-03,Friday,B01,Nairobi CBD,P005,,Supplement,2,25,50,M-Pesa
1160,2025-10-03,Friday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,1,15,15,M-Pesa
1161,2025-10-03,Friday,B01,Nairobi CBD,P010,Antacid Tablets,Digestive,2,20,40,Card
1162,2025-10-03,Friday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,1,30,30,Cash
1163,2025-10-03,Friday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,1,10,21,Card
1164,2025-10-03,Friday,B01,Nairobi CBD,P008,Insulin,Diabetes,2,450,900,Cash
1165,2025-10-03,Friday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,2,15,30,M-Pesa
1166,2025-10-03,Friday,B01,Nairobi CBD,P005,Vitamin C Tablets,Supplement,2,25,50,Cash
1167,2025-10-03,Friday,B01,Nairobi CBD,P006,Cough Syrup,Cold & Flu,3,90,270,M-Pesa
1168,2025-10-03,Friday,B01,Nairobi CBD,P005,Vitamin C Tablets,Supplement,2,25,50,Insurance
1169,2025-10-03,Friday,B01,Nairobi CBD,P003,Amoxicillin 250mg,Antibiotic,3,35,105,Cash
1170,2025-10-03,Friday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,1,40,40,M-Pesa
1171,2025-10-03,Friday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,3,15,45,M-Pesa
1172,2025-10-03,Friday,B01,Nairobi CBD,P006,,Cold & Flu,2,90,180,Cash
1173,2025-10-03,Friday,B01,Nairobi CBD,P003,Amoxicillin 250mg,Antibiotic,1,35,35,Card
1174,2025-10-03,Friday,B02,Embakasi,P007,Metformin 500mg,Diabetes,1,40,40,M-Pesa
1175,2025-10-03,Friday,B02,Embakasi,P006,Cough Syrup,Cold & Flu,3,90,281,Cash
1176,2025-10-03,Friday,B02,Embakasi,P010,Antacid Tablets,Digestive,2,20,40,Card
1177,2025-10-03,Friday,B02,Embakasi,P008,Insulin,Diabetes,1,450,450,Card
1178,2025-10-03,Friday,B02,Embakasi,P002,,Pain Relief,1,15,15,M-Pesa
1179,2025-10-03,Friday,B02,Embakasi,P002,Ibuprofen 200mg,Pain Relief,1,15,15,M-Pesa
1180,2025-10-03,Friday,B02,Embakasi,P007,Metformin 500mg,Diabetes,3,40,120,Card
1181,2025-10-03,Friday,B02,Embakasi,P004,Azithromycin 500mg,Antibiotic,3,120,360,M-Pesa
1182,2025-10-03,Friday,B02,Embakasi,P008,Insulin,Diabetes,2,450,900,Cash
1183,2025-10-03,Friday,B02,Embakasi,P007,Metformin 500mg,Diabetes,3,40,120,Cash
1184,2025-10-03,Friday,B02,Embakasi,P001,Paracetamol 500mg,Pain Relief,1,10,10,M-Pesa
1185,2025-10-03,Friday,B02,Embakasi,P005,Vitamin C Tablets,Supplement,2,25,50,M-Pesa
1186,2025-10-03,Friday,B02,Embakasi,P007,Metformin 500mg,Diabetes,1,40,40,M-Pesa
1187,2025-10-03,Friday,B02,Embakasi,P007,Metformin 500mg,Diabetes,1,40,40,M-Pesa
1188,2025-10-03,Friday,B02,Embakasi,P010,Antacid Tablets,Digestive,3,20,60,M-Pesa
1189,2025-10-03,Friday,B02,Embakasi,P005,Vitamin C Tablets,Supplement,2,25,50,M-Pesa
1190,2025-10-03,Friday,B02,Embakasi,P009,Amlodipine 5mg,Hypertension,3,30,90,
1191,2025-10-03,Friday,B02,Embakasi,P009,Amlodipine 5mg,Hypertension,3,30,90,M-Pesa
1192,2025-10-03,Friday,B02,Embakasi,P006,,Cold & Flu,2,90,180,Card
1193,2025-10-03,Friday,B02,Embakasi,P004,Azithromycin 500mg,Antibiotic,1,120,120,M-Pesa
1194,2025-10-03,Friday,B02,Embakasi,P005,Vitamin C Tablets,Supplement,1,25,25,M-Pesa
1195,2025-10-03,Friday,B02,,P008,Insulin,Diabetes,2,450,900,M-Pesa
1196,2025-10-03,Friday,B02,Embakasi,P001,Paracetamol 500mg,Pain Relief,1,10,10,Card
1197,2025-10-03,Friday,B02,,P010,,Digestive,2,20,40,M-Pesa
1198,2025-10-03,Friday,B02,Embakasi,P009,Amlodipine 5mg,Hypertension,2,30,60,M-Pesa
1199,2025-10-03,Friday,B02,Embakasi,P008,Insulin,Diabetes,3,450,1350,Card
1200,2025-10-03,Friday,B02,Embakasi,P003,Amoxicillin 250mg,Antibiotic,2,35,70,M-Pesa
1201,2025-10-03,Friday,B02,Embakasi,P008,Insulin,Diabetes,3,450,1350,
1202,2025-10-03,Friday,B02,Embakasi,P003,Amoxicillin 250mg,Antibiotic,1,35,35,M-Pesa
1203,2025-10-03,Friday,B02,Embakasi,P005,Vitamin C Tablets,Supplement,1,25,25,
1204,2025-10-04,Saturday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,1,15,15,M-Pesa
1205,2025-10-04,Saturday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,3,10,30,M-Pesa
1206,2025-10-04,Saturday,B01,Nairobi CBD,P006,,Cold & Flu,1,90,90,M-Pesa
1207,2025-10-04,Saturday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,2,30,60,Cash
1208,2025-10-04,Saturday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,2,30,60,Card
1209,2025-10-04,Saturday,B01,Nairobi CBD,P005,Vitamin C Tablets,Supplement,2,25,61,M-Pesa
1210,2025-10-04,Saturday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,3,40,120,Cash
1211,2025-10-04,Saturday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,1,40,40,
1212,2025-10-04,Saturday,B01,Nairobi CBD,P008,Insulin,Diabetes,1,450,450,M-Pesa
1213,2025-10-04,Saturday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,1,15,15,M-Pesa
1214,2025-10-04,Saturday,B01,Nairobi CBD,P002,Ibuprofen 200mg,Pain Relief,3,15,45,M-Pesa
1215,2025-10-04,Saturday,B01,Nairobi CBD,P004,Azithromycin 500mg,Antibiotic,2,120,240,M-Pesa
1216,2025-10-04,Saturday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,2,40,80,Cash
1217,2025-10-04,Saturday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,1,30,30,M-Pesa
1218,2025-10-04,Saturday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,2,40,80,Cash
1219,2025-10-04,Saturday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,2,10,20,
1220,2025-10-04,Saturday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,3,10,30,M-Pesa
1221,2025-10-04,Saturday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,3,10,30,M-Pesa
1222,2025-10-04,Saturday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,3,10,30,Cash
1223,2025-10-04,Saturday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,3,30,90,M-Pesa
1224,2025-10-04,Saturday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,1,40,40,M-Pesa
1225,2025-10-04,Saturday,B01,Nairobi CBD,P004,Azithromycin 500mg,Antibiotic,3,120,360,Cash
1226,2025-10-04,Saturday,B01,Nairobi CBD,P006,,Cold & Flu,2,90,180,M-Pesa
1227,2025-10-04,Saturday,B01,Nairobi CBD,P001,Paracetamol 500mg,Pain Relief,1,10,10,M-Pesa
1228,2025-10-04,Saturday,B01,Nairobi CBD,P009,Amlodipine 5mg,Hypertension,2,30,60,Card
1229,2025-10-04,Saturday,B01,Nairobi CBD,P008,Insulin,Diabetes,2,450,911,M-Pesa
1230,2025-10-04,Saturday,B01,Nairobi CBD,P010,Antacid Tablets,Digestive,2,20,40,Cash
1231,2025-10-04,Saturday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,3,40,120,M-Pesa
1232,2025-10-04,Saturday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,3,40,120,M-Pesa
1233,2025-10-04,Saturday,B01,Nairobi CBD,P004,Azithromycin 500mg,Antibiotic,1,120,131,M-Pesa
1234,2025-10-04,Saturday,B01,Nairobi CBD,P007,,Diabetes,1,40,40,M-Pesa
1235,2025-10-04,Saturday,B01,Nairobi CBD,P004,Azithromycin 500mg,Antibiotic,3,120,360,Cash
1236,2025-10-04,Saturday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,2,40,80,Insurance
1237,2025-10-04,Saturday,B01,Nairobi CBD,P007,Metformin 500mg,Diabetes,1,40,40,M-Pesa
1238,2025-10-04,Saturday,B01,Nairobi CBD,P006,Cough Syrup,Cold & Flu,3,90,270,Insurance
1239,2025-10-04,Saturday,B02,Embakasi,P010,Antacid Tablets,Digestive,3,20,60,M-Pesa
1240,2025-10-04,Saturday,B02,Embakasi,P005,Vitamin C Tablets,Supplement,3,25,75,M-Pesa
1241,2025-10-04,Saturday,B02,Embakasi,P004,Azithromycin 500mg,Antibiotic,2,120,240,M-Pesa
1242,2025-10-04,Saturday,B02,Embakasi,P009,Amlodipine 5mg,Hypertension,3,30,90,M-Pesa
1243,2025-10-04,Saturday,B02,embakasi,P009,Amlodipine 5mg,Hypertension,3,30,90,M-Pesa
1244,2025-10-04,Saturday,B02,Embakasi,P009,Amlodipine 5mg,Hypertension,3,30,90,M-Pesa
1245,2025-10-04,Saturday,B02,Embakasi,P009,Amlodipine 5mg,Hypertension,3,30,90,Insurance
1246,2025-10-04,Saturday,B02,Embakasi,P009,Amlodipine 5mg,Hypertension,1,30,30,M-Pesa
1247,2025-10-04,Saturday,B02,Embakasi,P007,,Diabetes,1,40,40,M-Pesa
